x y habitat.cov landscape water high.water dist.to.water km.to.water
4087120 -3321954 3 Malelane.Mountain.Bushveld 0 0 1730 1.73
4088343 -3321954 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4089566 -3321954 3 Malelane.Mountain.Bushveld 0 0 3868 3.87
4090790 -3321954 3 Malelane.Mountain.Bushveld 2 0 3868 3.87
4092013 -3321954 3 Malelane.Mountain.Bushveld 1 0 3669 3.67
4093236 -3321954 3 Malelane.Mountain.Bushveld 0 0 3868 3.87
4094459 -3321954 3 Malelane.Mountain.Bushveld 0 0 4410 4.41
4095682 -3321954 3 Malelane.Mountain.Bushveld 1 0 4410 4.41
4096905 -3321954 3 Malelane.Mountain.Bushveld 0 0 3868 3.87
4098128 -3321954 3 Malelane.Mountain.Bushveld 0 0 3669 3.67
4099351 -3321954 2.99 Malelane.Mountain.Bushveld 1 0 2735 2.73
4100574 -3321954 2.99 Malelane.Mountain.Bushveld 4 0 1730 1.73
4101797 -3321954 2.98 Malelane.Mountain.Bushveld 0 0 1223 1.22
4103020 -3321954 2.95 Malelane.Mountain.Bushveld 0 0 1223 1.22
4104243 -3321954 2.91 Malelane.Mountain.Bushveld 0 0 1223 1.22
4105466 -3321954 2.84 Malelane.Mountain.Bushveld 5 1 0 0
4106689 -3321954 2.74 Malelane.Mountain.Bushveld 10 1 0 0
4107912 -3321954 2.6 Malelane.Mountain.Bushveld 12 1 0 0
4109135 -3321954 2.42 Malelane.Mountain.Bushveld 7 1 0 0
4110358 -3321954 2.2 Malelane.Mountain.Bushveld 12 1 0 0
4118920 -3321954 1.56 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4120143 -3321954 1.63 Sabie.Crocodile.Thorn.Thickets 0 0 1223 1.22
4121366 -3321954 1.69 Sabie.Crocodile.Thorn.Thickets 1 0 2446 2.45
4122589 -3321954 1.76 Sabie.Crocodile.Thorn.Thickets 1 0 1730 1.73
4123812 -3321954 1.81 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4125035 -3321954 1.86 Sabie.Crocodile.Thorn.Thickets 2 0 1730 1.73
4083451 -3320731 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4084674 -3320731 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4085897 -3320731 3 Malelane.Mountain.Bushveld 1 0 1730 1.73
4087120 -3320731 3 Malelane.Mountain.Bushveld 0 0 2735 2.73
4088343 -3320731 3 Malelane.Mountain.Bushveld 1 0 3459 3.46
4089566 -3320731 3 Malelane.Mountain.Bushveld 0 0 4410 4.41
4090790 -3320731 3 Malelane.Mountain.Bushveld 2 0 5043 5.04
4092013 -3320731 3 Malelane.Mountain.Bushveld 2 0 4892 4.89
4093236 -3320731 3 Malelane.Mountain.Bushveld 0 0 5043 5.04
4094459 -3320731 3 Malelane.Mountain.Bushveld 0 0 4410 4.41
4095682 -3320731 3 Malelane.Mountain.Bushveld 0 0 3459 3.46
4096905 -3320731 3 Malelane.Mountain.Bushveld 1 0 2735 2.73
4098128 -3320731 2.99 Malelane.Mountain.Bushveld 0 0 2446 2.45
4099351 -3320731 2.99 Malelane.Mountain.Bushveld 1 0 2446 2.45
4100574 -3320731 2.98 Malelane.Mountain.Bushveld 0 0 1223 1.22
4101797 -3320731 2.97 Malelane.Mountain.Bushveld 6 1 0 0
4103020 -3320731 2.93 Malelane.Mountain.Bushveld 5 1 0 0
4104243 -3320731 2.88 Malelane.Mountain.Bushveld 4 0 1223 1.22
4105466 -3320731 2.8 Malelane.Mountain.Bushveld 0 0 1223 1.22
4106689 -3320731 2.68 Malelane.Mountain.Bushveld 1 0 1223 1.22
4107912 -3320731 2.51 Malelane.Mountain.Bushveld 3 0 1223 1.22
4109135 -3320731 2.31 Malelane.Mountain.Bushveld 1 0 1223 1.22
4110358 -3320731 2.08 Malelane.Mountain.Bushveld 6 1 0 0
4118920 -3320731 1.49 Mixed.Bushwillow.Woodlands 9 1 0 0
4120143 -3320731 1.57 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4121366 -3320731 1.65 Sabie.Crocodile.Thorn.Thickets 1 0 2446 2.45
4122589 -3320731 1.72 Sabie.Crocodile.Thorn.Thickets 2 0 2735 2.73
4123812 -3320731 1.79 Sabie.Crocodile.Thorn.Thickets 0 0 2446 2.45
4125035 -3320731 1.85 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4126258 -3320731 1.89 Sabie.Crocodile.Thorn.Thickets 7 1 0 0
4127481 -3320731 1.93 Sabie.Crocodile.Thorn.Thickets 8 1 0 0
4128704 -3320731 1.95 Sabie.Crocodile.Thorn.Thickets 6 1 0 0
4129927 -3320731 1.97 Sabie.Crocodile.Thorn.Thickets 10 1 0 0
4083451 -3319508 3 Malelane.Mountain.Bushveld 7 1 0 0
4084674 -3319508 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4085897 -3319508 3 Malelane.Mountain.Bushveld 2 0 2446 2.45
4087120 -3319508 3 Malelane.Mountain.Bushveld 0 0 3459 3.46
4088343 -3319508 3 Malelane.Mountain.Bushveld 1 0 4410 4.41
4089566 -3319508 3 Malelane.Mountain.Bushveld 1 0 5189 5.19
4090790 -3319508 3 Malelane.Mountain.Bushveld 0 0 6115 6.12
4092013 -3319508 3 Malelane.Mountain.Bushveld 2 0 6115 6.12
4093236 -3319508 2.99 Malelane.Mountain.Bushveld 1 0 5043 5.04
4094459 -3319508 2.99 Malelane.Mountain.Bushveld 1 0 3868 3.87
4095682 -3319508 2.99 Malelane.Mountain.Bushveld 2 0 2735 2.73
4096905 -3319508 2.99 Malelane.Mountain.Bushveld 0 0 1730 1.73
4098128 -3319508 2.99 Malelane.Mountain.Bushveld 1 0 1223 1.22
4099351 -3319508 2.98 Malelane.Mountain.Bushveld 1 0 1223 1.22
4100574 -3319508 2.97 Malelane.Mountain.Bushveld 3 0 1223 1.22
4101797 -3319508 2.95 Malelane.Mountain.Bushveld 5 1 0 0
4103020 -3319508 2.91 Malelane.Mountain.Bushveld 2 0 1223 1.22
4104243 -3319508 2.85 Malelane.Mountain.Bushveld 1 0 1730 1.73
4105466 -3319508 2.75 Malelane.Mountain.Bushveld 3 0 2446 2.45
4106689 -3319508 2.61 Malelane.Mountain.Bushveld 1 0 2446 2.45
4107912 -3319508 2.43 Malelane.Mountain.Bushveld 1 0 2446 2.45
4109135 -3319508 2.21 Malelane.Mountain.Bushveld 0 0 1730 1.73
4110358 -3319508 1.98 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
4111581 -3319508 1.74 Mixed.Bushwillow.Woodlands 2 0 1730 1.73
4112804 -3319508 1.55 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
4114028 -3319508 1.4 Mixed.Bushwillow.Woodlands 14 1 0 0
4115251 -3319508 1.33 Mixed.Bushwillow.Woodlands 6 1 0 0
4116474 -3319508 1.32 Mixed.Bushwillow.Woodlands 12 1 0 0
4117697 -3319508 1.36 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
4118920 -3319508 1.43 Mixed.Bushwillow.Woodlands 9 1 0 0
4120143 -3319508 1.51 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4121366 -3319508 1.6 Mixed.Bushwillow.Woodlands 1 0 2446 2.45
4122589 -3319508 1.69 Sabie.Crocodile.Thorn.Thickets 0 0 3459 3.46
4123812 -3319508 1.77 Sabie.Crocodile.Thorn.Thickets 1 0 2735 2.73
4125035 -3319508 1.83 Sabie.Crocodile.Thorn.Thickets 2 0 1730 1.73
4126258 -3319508 1.88 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4127481 -3319508 1.92 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4128704 -3319508 1.95 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4129927 -3319508 1.97 Sabie.Crocodile.Thorn.Thickets 4 0 1223 1.22
4083451 -3318285 3 Malelane.Mountain.Bushveld 6 1 0 0
4084674 -3318285 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4085897 -3318285 3 Malelane.Mountain.Bushveld 0 0 2446 2.45
4087120 -3318285 3 Malelane.Mountain.Bushveld 0 0 3669 3.67
4088343 -3318285 3 Malelane.Mountain.Bushveld 1 0 4892 4.89
4089566 -3318285 3 Malelane.Mountain.Bushveld 1 0 6115 6.12
4090790 -3318285 2.99 Malelane.Mountain.Bushveld 0 0 6919 6.92
4092013 -3318285 2.99 Malelane.Mountain.Bushveld 0 0 6115 6.12
4093236 -3318285 2.99 Malelane.Mountain.Bushveld 1 0 4892 4.89
4094459 -3318285 2.98 Malelane.Mountain.Bushveld 2 0 3669 3.67
4095682 -3318285 2.98 Malelane.Mountain.Bushveld 1 0 2446 2.45
4096905 -3318285 2.98 Malelane.Mountain.Bushveld 1 0 1223 1.22
4098128 -3318285 2.98 Malelane.Mountain.Bushveld 5 1 0 0
4099351 -3318285 2.97 Malelane.Mountain.Bushveld 10 1 0 0
4100574 -3318285 2.96 Malelane.Mountain.Bushveld 7 1 0 0
4101797 -3318285 2.93 Malelane.Mountain.Bushveld 0 0 1223 1.22
4103020 -3318285 2.89 Malelane.Mountain.Bushveld 1 0 1730 1.73
4104243 -3318285 2.81 Malelane.Mountain.Bushveld 0 0 2735 2.73
4105466 -3318285 2.7 Malelane.Mountain.Bushveld 2 0 3459 3.46
4106689 -3318285 2.54 Malelane.Mountain.Bushveld 2 0 3669 3.67
4107912 -3318285 2.35 Malelane.Mountain.Bushveld 0 0 3459 3.46
4109135 -3318285 2.12 Mixed.Bushwillow.Woodlands 2 0 2735 2.73
4110358 -3318285 1.88 Mixed.Bushwillow.Woodlands 2 0 2446 2.45
4111581 -3318285 1.66 Mixed.Bushwillow.Woodlands 2 0 2735 2.73
4112804 -3318285 1.47 Mixed.Bushwillow.Woodlands 1 0 1730 1.73
4114028 -3318285 1.34 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
4115251 -3318285 1.28 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4116474 -3318285 1.27 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
4117697 -3318285 1.31 Mixed.Bushwillow.Woodlands 3 0 1730 1.73
4118920 -3318285 1.38 Mixed.Bushwillow.Woodlands 3 0 1223 1.22
4120143 -3318285 1.47 Mixed.Bushwillow.Woodlands 0 0 1730 1.73
4121366 -3318285 1.57 Mixed.Bushwillow.Woodlands 2 0 2735 2.73
4122589 -3318285 1.66 Sabie.Crocodile.Thorn.Thickets 0 0 2735 2.73
4123812 -3318285 1.75 Sabie.Crocodile.Thorn.Thickets 0 0 1730 1.73
4125035 -3318285 1.82 Sabie.Crocodile.Thorn.Thickets 0 0 1223 1.22
4126258 -3318285 1.88 Sabie.Crocodile.Thorn.Thickets 2 0 1223 1.22
4127481 -3318285 1.92 Sabie.Crocodile.Thorn.Thickets 4 0 1223 1.22
4128704 -3318285 1.95 Sabie.Crocodile.Thorn.Thickets 3 0 1223 1.22
4129927 -3318285 1.97 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4083451 -3317062 3 Malelane.Mountain.Bushveld 5 1 0 0
4084674 -3317062 3 Malelane.Mountain.Bushveld 2 0 1223 1.22
4085897 -3317062 3 Malelane.Mountain.Bushveld 0 0 2446 2.45
4087120 -3317062 3 Malelane.Mountain.Bushveld 0 0 3669 3.67
4088343 -3317062 2.99 Malelane.Mountain.Bushveld 1 0 4892 4.89
4089566 -3317062 2.99 Malelane.Mountain.Bushveld 1 0 6115 6.12
4090790 -3317062 2.99 Malelane.Mountain.Bushveld 0 0 7338 7.34
4092013 -3317062 2.98 Malelane.Mountain.Bushveld 0 0 6236 6.24
4093236 -3317062 2.97 Malelane.Mountain.Bushveld 2 0 5043 5.04
4094459 -3317062 2.97 Malelane.Mountain.Bushveld 3 0 3868 3.87
4095682 -3317062 2.96 Malelane.Mountain.Bushveld 2 0 2735 2.73
4096905 -3317062 2.96 Malelane.Mountain.Bushveld 2 0 1730 1.73
4098128 -3317062 2.96 Malelane.Mountain.Bushveld 2 0 1223 1.22
4099351 -3317062 2.95 Malelane.Mountain.Bushveld 4 0 1223 1.22
4100574 -3317062 2.94 Malelane.Mountain.Bushveld 1 0 1223 1.22
4101797 -3317062 2.91 Malelane.Mountain.Bushveld 0 0 1730 1.73
4103020 -3317062 2.86 Malelane.Mountain.Bushveld 1 0 2735 2.73
4104243 -3317062 2.77 Malelane.Mountain.Bushveld 0 0 3459 3.46
4105466 -3317062 2.65 Malelane.Mountain.Bushveld 2 0 4410 4.41
4106689 -3317062 2.48 Malelane.Mountain.Bushveld 1 0 4892 4.89
4107912 -3317062 2.27 Malelane.Mountain.Bushveld 1 0 4410 4.41
4109135 -3317062 2.04 Mixed.Bushwillow.Woodlands 2 0 3868 3.87
4110358 -3317062 1.81 Mixed.Bushwillow.Woodlands 0 0 3459 3.46
4111581 -3317062 1.59 Mixed.Bushwillow.Woodlands 0 0 2735 2.73
4112804 -3317062 1.42 Mixed.Bushwillow.Woodlands 0 0 2446 2.45
4114028 -3317062 1.3 Mixed.Bushwillow.Woodlands 2 0 2446 2.45
4115251 -3317062 1.24 Mixed.Bushwillow.Woodlands 0 0 2446 2.45
4116474 -3317062 1.24 Mixed.Bushwillow.Woodlands 1 0 1730 1.73
4117697 -3317062 1.28 Mixed.Bushwillow.Woodlands 2 0 1223 1.22
4118920 -3317062 1.35 Mixed.Bushwillow.Woodlands 5 1 0 0
4120143 -3317062 1.45 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4121366 -3317062 1.55 Mixed.Bushwillow.Woodlands 2 0 2446 2.45
4122589 -3317062 1.65 Sabie.Crocodile.Thorn.Thickets 1 0 2446 2.45
4123812 -3317062 1.73 Sabie.Crocodile.Thorn.Thickets 0 0 1223 1.22
4125035 -3317062 1.81 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4126258 -3317062 1.87 Sabie.Crocodile.Thorn.Thickets 6 1 0 0
4127481 -3317062 1.91 Sabie.Crocodile.Thorn.Thickets 7 1 0 0
4128704 -3317062 1.94 Sabie.Crocodile.Thorn.Thickets 2 0 1223 1.22
4129927 -3317062 1.96 Sabie.Crocodile.Thorn.Thickets 0 0 1223 1.22
4083451 -3315839 3 Malelane.Mountain.Bushveld 9 1 0 0
4084674 -3315839 3 Malelane.Mountain.Bushveld 4 0 1223 1.22
4085897 -3315839 3 Malelane.Mountain.Bushveld 1 0 2446 2.45
4087120 -3315839 2.99 Malelane.Mountain.Bushveld 1 0 3669 3.67
4088343 -3315839 2.99 Malelane.Mountain.Bushveld 0 0 4892 4.89
4089566 -3315839 2.98 Malelane.Mountain.Bushveld 1 0 6115 6.12
4090790 -3315839 2.97 Malelane.Mountain.Bushveld 1 0 6586 6.59
4092013 -3315839 2.96 Malelane.Mountain.Bushveld 2 0 6236 6.24
4093236 -3315839 2.95 Malelane.Mountain.Bushveld 0 0 5043 5.04
4094459 -3315839 2.94 Malelane.Mountain.Bushveld 1 0 3868 3.87
4095682 -3315839 2.93 Malelane.Mountain.Bushveld 0 0 2735 2.73
4096905 -3315839 2.92 Malelane.Mountain.Bushveld 2 0 1730 1.73
4098128 -3315839 2.92 Malelane.Mountain.Bushveld 1 0 1223 1.22
4099351 -3315839 2.91 Malelane.Mountain.Bushveld 1 0 1730 1.73
4100574 -3315839 2.9 Malelane.Mountain.Bushveld 1 0 2446 2.45
4101797 -3315839 2.87 Malelane.Mountain.Bushveld 0 0 2735 2.73
4103020 -3315839 2.82 Malelane.Mountain.Bushveld 0 0 3459 3.46
4104243 -3315839 2.73 Malelane.Mountain.Bushveld 0 0 4410 4.41
4105466 -3315839 2.59 Malelane.Mountain.Bushveld 1 0 4892 4.89
4106689 -3315839 2.42 Malelane.Mountain.Bushveld 1 0 4410 4.41
4107912 -3315839 2.21 Malelane.Mountain.Bushveld 3 0 3459 3.46
4109135 -3315839 1.98 Mixed.Bushwillow.Woodlands 1 0 2735 2.73
4110358 -3315839 1.75 Mixed.Bushwillow.Woodlands 0 0 2446 2.45
4111581 -3315839 1.54 Mixed.Bushwillow.Woodlands 0 0 1730 1.73
4112804 -3315839 1.38 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4114028 -3315839 1.27 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4115251 -3315839 1.22 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4116474 -3315839 1.22 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4117697 -3315839 1.26 Mixed.Bushwillow.Woodlands 5 1 0 0
4118920 -3315839 1.34 Mixed.Bushwillow.Woodlands 4 0 1223 1.22
4120143 -3315839 1.43 Mixed.Bushwillow.Woodlands 1 0 1730 1.73
4121366 -3315839 1.53 Mixed.Bushwillow.Woodlands 2 0 1730 1.73
4122589 -3315839 1.63 Sabie.Crocodile.Thorn.Thickets 3 0 1223 1.22
4123812 -3315839 1.73 Sabie.Crocodile.Thorn.Thickets 3 0 1223 1.22
4125035 -3315839 1.8 Sabie.Crocodile.Thorn.Thickets 7 1 0 0
4126258 -3315839 1.86 Sabie.Crocodile.Thorn.Thickets 4 0 1223 1.22
4127481 -3315839 1.9 Sabie.Crocodile.Thorn.Thickets 3 0 1223 1.22
4128704 -3315839 1.94 Sabie.Crocodile.Thorn.Thickets 1 0 1730 1.73
4083451 -3314616 3 Malelane.Mountain.Bushveld 7 1 0 0
4084674 -3314616 3 Malelane.Mountain.Bushveld 1 0 1223 1.22
4085897 -3314616 3 Malelane.Mountain.Bushveld 1 0 2446 2.45
4087120 -3314616 2.99 Malelane.Mountain.Bushveld 0 0 3669 3.67
4088343 -3314616 2.98 Malelane.Mountain.Bushveld 1 0 4892 4.89
4089566 -3314616 2.97 Malelane.Mountain.Bushveld 0 0 6115 6.12
4090790 -3314616 2.96 Malelane.Mountain.Bushveld 1 0 5470 5.47
4092013 -3314616 2.94 Malelane.Mountain.Bushveld 2 0 5043 5.04
4093236 -3314616 2.92 Malelane.Mountain.Bushveld 2 0 4892 4.89
4094459 -3314616 2.89 Malelane.Mountain.Bushveld 2 0 3669 3.67
4095682 -3314616 2.88 Malelane.Mountain.Bushveld 2 0 2446 2.45
4096905 -3314616 2.86 Malelane.Mountain.Bushveld 1 0 1223 1.22
4098128 -3314616 2.86 Malelane.Mountain.Bushveld 10 1 0 0
4099351 -3314616 2.85 Malelane.Mountain.Bushveld 0 0 1223 1.22
4100574 -3314616 2.84 Malelane.Mountain.Bushveld 1 0 2446 2.45
4101797 -3314616 2.81 Malelane.Mountain.Bushveld 0 0 3669 3.67
4103020 -3314616 2.75 Malelane.Mountain.Bushveld 1 0 4410 4.41
4104243 -3314616 2.66 Malelane.Mountain.Bushveld 1 0 3868 3.87
4105466 -3314616 2.53 Malelane.Mountain.Bushveld 0 0 3669 3.67
4106689 -3314616 2.35 Malelane.Mountain.Bushveld 0 0 3459 3.46
4107912 -3314616 2.14 Malelane.Mountain.Bushveld 1 0 2735 2.73
4109135 -3314616 1.92 Mixed.Bushwillow.Woodlands 1 0 1730 1.73
4110358 -3314616 1.7 Mixed.Bushwillow.Woodlands 1 0 1223 1.22
4111581 -3314616 1.5 Mixed.Bushwillow.Woodlands 0 0 1223 1.22
4112804 -3314616 1.35 Mixed.Bushwillow.Woodlands 10 1 0 0
4114028 -3314616 1.25 Mixed.Bushwillow.Woodlands 5 1 0 0
4115251 -3314616 1.2 Mixed.Bushwillow.Woodlands 14 1 0 0
4116474 -3314616 1.21 Mixed.Bushwillow.Woodlands 8 1 0 0
4117697 -3314616 1.25 Mixed.Bushwillow.Woodlands 2 0 1223 1.22
4118920 -3314616 1.33 Mixed.Bushwillow.Woodlands 2 0 1730 1.73
4120143 -3314616 1.42 Mixed.Bushwillow.Woodlands 0 0 2446 2.45
4121366 -3314616 1.53 Sabie.Crocodile.Thorn.Thickets 1 0 1223 1.22
4122589 -3314616 1.63 Sabie.Crocodile.Thorn.Thickets 5 1 0 0
4123812 -3314616 1.72 Sabie.Crocodile.Thorn.Thickets 2 0 1223 1.22
4125035 -3314616 1.79 Sabie.Crocodile.Thorn.Thickets 2 0 1223 1.22
4126258 -3314616 1.85 Sabie.Crocodile.Thorn.Thickets 0 0 1730 1.73
4127481 -3314616 1.9 Sabie.Crocodile.Thorn.Thickets 1 0 2446 2.45
4128704 -3314616 1.93 Sabie.Crocodile.Thorn.Thickets 2 0 1730 1.73
4083451 -3313393 3 Malelane.Mountain.Bushveld 8 1 0 0
4084674 -3313393 3 Malelane.Mountain.Bushveld 0 0 1223 1.22
4085897 -3313393 2.99 Malelane.Mountain.Bushveld 1 0 2446 2.45
4087120 -3313393 2.99 Malelane.Mountain.Bushveld 0 0 3669 3.67
4088343 -3313393 2.97 Malelane.Mountain.Bushveld 0 0 4892 4.89
4089566 -3313393 2.96 Malelane.Mountain.Bushveld 1 0 5189 5.19
4090790 -3313393 2.93 Malelane.Mountain.Bushveld 0 0 4410 4.41
4092013 -3313393 2.9 Malelane.Mountain.Bushveld 2 0 3868 3.87
